Frequency (Hz),Amplitude
0.000000000000000000e+00,2.416598591124545687e-04
3.335036330608537498e-03,1.910966758711544545e-04
6.670072661217074997e-03,2.312535910767079541e-04
1.000510899182561336e-02,8.822522341629775373e-05
1.334014532243414999e-02,7.618516887154371865e-05
1.667518165304268662e-02,6.571088554280006490e-05
2.001021798365122673e-02,7.077484010505881256e-05
2.334525431425976336e-02,5.151374469563028854e-05
2.668029064486829999e-02,4.755175959154616918e-05
3.001532697547683662e-02,4.503808170742737535e-05
3.335036330608537325e-02,4.977371423384184854e-05
3.668539963669391335e-02,3.719457288526518339e-05
4.002043596730245345e-02,3.254673060419457795e-05
4.335547229791098661e-02,3.871976297697712302e-05
4.669050862851952671e-02,4.641290361786043028e-05
5.002554495912805987e-02,3.544230459869269448e-05
5.336058128973659997e-02,3.407934457123199722e-05
5.669561762034514008e-02,3.004045737138032228e-05
6.003065395095367324e-02,3.250928983645459723e-05
6.336569028156220640e-02,3.301669826404017290e-05
6.670072661217074650e-02,3.266380757685701278e-05
7.003576294277928660e-02,3.053232659972851559e-05
7.337079927338782670e-02,3.559273212650787040e-05
7.670583560399636680e-02,2.704142034542806545e-05
8.004087193460490690e-02,2.720646284104038620e-05
8.337590826521343312e-02,2.971843120077155345e-05
8.671094459582197322e-02,3.014531012941285638e-05
9.004598092643051332e-02,2.317901481874185823e-05
9.338101725703905343e-02,2.446152700550276312e-05
9.671605358764759353e-02,3.034424980968046190e-05
1.000510899182561197e-01,3.036483915881046586e-05
1.033861262488646598e-01,2.594595014810489175e-05
1.067211625794731999e-01,3.110881578826234928e-05
1.100561989100817400e-01,3.025538382160463722e-05
1.133912352406902802e-01,2.969327326276176187e-05
1.167262715712988064e-01,3.284487289430187631e-05
1.200613079019073465e-01,3.515463464329672587e-05
1.233963442325158866e-01,3.579931430776328843e-05
1.267313805631244128e-01,3.573862061762240664e-05
1.300664168937329668e-01,3.395785925939281182e-05
1.334014532243414930e-01,3.184029949049441605e-05
1.367364895549500470e-01,3.458547686801402500e-05
1.400715258855585732e-01,3.313536043057942583e-05
1.434065622161670994e-01,3.259261844354943255e-05
1.467415985467756534e-01,3.471293783945734090e-05
1.500766348773841796e-01,3.396436957172152158e-05
1.534116712079927336e-01,3.166883251368451827e-05
1.567467075386012598e-01,3.136347443928612074e-05
1.600817438692098138e-01,3.304700129014585732e-05
1.634167801998183400e-01,3.250095384185900993e-05
1.667518165304268662e-01,3.629333611783390300e-05
1.700868528610354202e-01,3.607414043305675157e-05
1.734218891916439464e-01,3.904032030558161079e-05
1.767569255222525004e-01,3.647805191534075875e-05
1.800919618528610266e-01,3.719505990681983969e-05
1.834269981834695529e-01,3.804553012881387269e-05
1.867620345140781069e-01,4.161998075131166809e-05
1.900970708446866331e-01,4.262493173029510083e-05
1.934321071752951871e-01,4.180454940716699287e-05
1.967671435059037133e-01,4.452756510522882881e-05
2.001021798365122395e-01,4.160926879117963606e-05
2.034372161671207935e-01,4.007831199271722931e-05
2.067722524977293197e-01,4.182122152280827384e-05
2.101072888283378737e-01,4.539376632221286387e-05
2.134423251589463999e-01,4.757309056463281951e-05
2.167773614895549261e-01,4.157440673985926028e-05
