Frequency (Hz),Amplitude
0.000000000000000000e+00,2.970756073828834066e-04
3.332009981851179279e-03,4.850501141762663141e-04
6.664019963702358558e-03,2.791797189907922554e-04
9.996029945553538271e-03,2.633802926274764655e-04
1.332803992740471712e-02,1.968353947285602170e-04
1.666004990925589596e-02,1.502322024189616185e-04
1.999205989110707654e-02,1.226590154020609801e-04
2.332406987295825365e-02,1.174394092348872139e-04
2.665607985480943423e-02,9.955570918369648678e-05
2.998808983666061481e-02,8.742613633955099019e-05
3.332009981851179192e-02,7.952859429757496627e-05
3.665210980036297250e-02,7.092514908089617674e-05
3.998411978221415308e-02,7.106978319417858497e-05
4.331612976406533366e-02,5.415864923707368079e-05
4.664813974591650730e-02,5.173770974332406511e-05
4.998014972776768788e-02,4.731518420065768723e-05
5.331215970961886846e-02,3.685701000356778783e-05
5.664416969147004904e-02,3.575784875333100121e-05
5.997617967332122962e-02,4.013160620289048984e-05
6.330818965517240327e-02,3.155252276176010085e-05
6.664019963702358385e-02,2.550521491239833002e-05
6.997220961887476443e-02,3.365374009611985087e-05
7.330421960072594501e-02,2.956680375533814883e-05
7.663622958257712559e-02,3.164814846041988724e-05
7.996823956442830617e-02,2.917943413527610515e-05
8.330024954627948675e-02,3.133831972402173005e-05
8.663225952813066733e-02,3.229759993848098696e-05
8.996426950998183403e-02,3.534217874573946364e-05
9.329627949183301461e-02,3.478492042246481209e-05
9.662828947368419519e-02,3.942359020623161696e-05
9.996029945553537577e-02,3.632053059793265414e-05
1.032923094373865563e-01,3.792317999502615647e-05
1.066243194192377369e-01,4.441432856799549589e-05
1.099563294010889175e-01,4.672227273207554821e-05
1.132883393829400981e-01,4.617363119845784020e-05
1.166203493647912787e-01,4.596035796844790723e-05
1.199523593466424592e-01,4.584614382358702004e-05
1.232843693284936398e-01,4.601629512353380057e-05
1.266163793103448065e-01,4.790572992149012870e-05
1.299483892921959871e-01,4.618028697168062580e-05
1.332803992740471677e-01,4.432933304672653140e-05
1.366124092558983483e-01,4.478158630506842307e-05
1.399444192377495289e-01,4.751693542717737182e-05
1.432764292196007094e-01,5.001575843749114325e-05
1.466084392014518900e-01,5.112391020077573052e-05
1.499404491833030706e-01,4.897005326659821138e-05
1.532724591651542512e-01,5.419732574046963496e-05
1.566044691470054318e-01,5.678268513112170307e-05
1.599364791288566123e-01,5.269097004321006997e-05
1.632684891107077929e-01,5.449341711105777847e-05
1.666004990925589735e-01,5.963602651239854175e-05
1.699325090744101541e-01,6.235977366877428580e-05
1.732645190562613347e-01,6.067641877233793284e-05
1.765965290381125152e-01,6.474392344034895445e-05
1.799285390199636681e-01,6.662746525794348371e-05
1.832605490018148486e-01,6.444029486002540664e-05
1.865925589836660292e-01,6.878492561145031748e-05
1.899245689655172098e-01,7.261235673647127066e-05
1.932565789473683904e-01,7.400286491243813862e-05
1.965885889292195710e-01,7.213758416954581612e-05
1.999205989110707515e-01,7.358270181012844559e-05
2.032526088929219321e-01,7.881954474463090604e-05
2.065846188747731127e-01,8.089098992407770731e-05
2.099166288566242933e-01,8.460965277608327147e-05
2.132486388384754739e-01,7.991821367047725628e-05
2.165806488203266544e-01,8.152735350934495965e-05
2.199126588021778350e-01,8.344512115229370751e-05
2.232446687840290156e-01,9.033164903966489439e-05
2.265766787658801962e-01,9.445099779484115478e-05
2.299086887477313768e-01,9.164739017943018633e-05
2.332406987295825573e-01,9.510635934636644531e-05
2.365727087114337379e-01,9.855744066309588241e-05
2.399047186932849185e-01,1.009528864896174904e-04
2.432367286751360991e-01,1.033272740806909180e-04
2.465687386569872797e-01,1.033109094439666528e-04
2.499007486388384325e-01,1.107765789344604548e-04
2.532327586206896131e-01,1.152081846913983500e-04
2.565647686025407936e-01,1.186941613947196770e-04
2.598967785843919742e-01,1.198096744032870988e-04
2.632287885662431548e-01,1.191017438904416200e-04
2.665607985480943354e-01,1.243202857863765268e-04
2.698928085299455160e-01,1.271715748606453116e-04
2.732248185117966965e-01,1.273723474654366310e-04
2.765568284936478771e-01,1.340299411441261469e-04
2.798888384754990577e-01,1.300545400646021957e-04
2.832208484573502383e-01,1.330900132145311553e-04
2.865528584392014189e-01,1.393090259745129091e-04
2.898848684210525994e-01,1.409982818040322113e-04
2.932168784029037800e-01,1.472575679016444961e-04
2.965488883847549606e-01,1.522533411328756171e-04
2.998808983666061412e-01,1.524933883583489162e-04
3.032129083484573218e-01,1.601755867402458570e-04
3.065449183303085023e-01,1.591514381500657707e-04
3.098769283121596829e-01,1.660355238021675255e-04
3.132089382940108635e-01,1.716049262810460387e-04
3.165409482758620441e-01,1.738647281905478736e-04
3.198729582577132247e-01,1.747108725882328024e-04
3.232049682395644052e-01,1.838998321268788048e-04
3.265369782214155858e-01,1.861693423798042488e-04
3.298689882032667664e-01,1.907288089149451532e-04
3.332009981851179470e-01,1.944927310160321249e-04
3.365330081669691276e-01,2.017574592777394017e-04
3.398650181488203081e-01,2.056276465761019598e-04
3.431970281306714887e-01,2.088824041539579369e-04
3.465290381125226693e-01,2.181300027627639491e-04
3.498610480943738499e-01,2.234802130198566047e-04
3.531930580762250305e-01,2.285684311770326473e-04
3.565250680580761555e-01,2.333213720540005479e-04
3.598570780399273361e-01,2.434000052886263964e-04
3.631890880217785167e-01,2.494644773434206183e-04
3.665210980036296973e-01,2.550080145992210108e-04
3.698531079854808779e-01,2.622201413629507709e-04
3.731851179673320584e-01,2.734941887779882984e-04
3.765171279491832390e-01,2.802665625310300475e-04
3.798491379310344196e-01,2.872672980342453534e-04
3.831811479128856002e-01,2.965358270825750684e-04
3.865131578947367808e-01,3.058044277838968083e-04
3.898451678765879613e-01,3.166967856306976414e-04
3.931771778584391419e-01,3.238553935829820239e-04
3.965091878402903225e-01,3.364886290739538114e-04
3.998411978221415031e-01,3.510456698985812388e-04
4.031732078039926837e-01,3.657962658637088616e-04
4.065052177858438642e-01,3.802174036647124099e-04
4.098372277676950448e-01,3.918405105360566972e-04
4.131692377495462254e-01,4.116886798902940270e-04
4.165012477313974060e-01,4.236327830139591851e-04
4.198332577132485866e-01,4.430997015923514022e-04
4.231652676950997671e-01,4.570984588779001623e-04
4.264972776769509477e-01,4.788816237109301912e-04
4.298292876588021283e-01,4.979089983834563424e-04
